,fema_declaration_string,disaster_number,state,declaration_type,fy_declared,incident_type,declaration_title,ih_program_declared,ia_program_declared,pa_program_declared,hm_program_declared,incident_begin_date,incident_end_date,Begin_Date,End_Date,Disaster_Period_Days,designated_area,id
46147,DR-4281-IA,4281,IA,Major Disaster,2016,Flood,"Severe Storms, Straight-Line Winds, And Flooding",NO,NO,YES,YES,2016-08-23T13:43:10Z,2016-08-28T03:59:00Z,8/23/16,8/28/16,5,Clayton (County),5d1bcedad5b39c032f26ba6d
46155,FM-5154-NV,5154,NV,Fire Management,2017,Fire,Frontage Fire,NO,NO,YES,YES,2016-10-02T16:00:00Z,2016-10-05T03:59:00Z,10/2/16,10/5/16,2,Douglas (County),5d1bcedcd5b39c032f26c69f
46156,FM-5155-CO,5155,CO,Fire Management,2017,Fire,Beulah Hill Fire,NO,NO,YES,YES,2016-10-04T04:00:00Z,2016-10-08T03:59:00Z,10/4/16,10/8/16,4,Pueblo (County),5d1bcedcd5b39c032f26c6a2
46157,EM-3377-FL,3377,FL,Emergency Management,2017,Hurricane,Hurricane Matthew,NO,NO,YES,NO,2016-10-03T16:00:00Z,2016-10-20T03:59:00Z,10/3/16,10/20/16,16,Putnam (County),5d1bced5d5b39c032f26a66e
46185,DR-4282-HI,4282,HI,Major Disaster,2017,Mud/Landslide,"Severe Storms, Flooding, Landslides, And Mudslides",NO,NO,YES,YES,2016-09-11T04:00:00Z,2016-09-15T03:59:00Z,9/11/16,9/15/16,4,Maui (County),5d1bcedad5b39c032f26bbe3
46186,EM-3378-SC,3378,SC,Emergency Management,2017,Hurricane,Hurricane Matthew,NO,NO,YES,NO,2016-10-04T16:00:00Z,2016-10-31T03:59:00Z,10/4/16,10/31/16,26,Jasper (County),5d1bced5d5b39c032f26a6a0
46233,EM-3379-GA,3379,GA,Emergency Management,2017,Hurricane,Hurricane Matthew,NO,NO,YES,NO,2016-10-04T16:00:01Z,2016-10-16T03:59:00Z,10/4/16,10/16/16,11,Burke (County),5d1bced5d5b39c032f26a69d
46263,EM-3380-NC,3380,NC,Emergency Management,2017,Hurricane,Hurricane Matthew,NO,NO,YES,NO,2016-10-04T16:00:00Z,2016-10-24T04:00:00Z,10/4/16,10/24/16,20,Greene (County),5d1bced5d5b39c032f26a6c5
46329,DR-4283-FL,4283,FL,Major Disaster,2017,Hurricane,Hurricane Matthew,NO,NO,YES,YES,2016-10-03T16:00:00Z,2016-10-20T03:59:00Z,10/3/16,10/20/16,16,Osceola (County),5d1bcedad5b39c032f26b98f
46347,DR-4284-GA,4284,GA,Major Disaster,2017,Hurricane,Hurricane Matthew,YES,NO,YES,YES,2016-10-04T16:00:00Z,2016-10-16T03:59:00Z,10/4/16,10/16/16,11,McIntosh (County),5d1bcedad5b39c032f26bb1c
46367,DR-4285-NC,4285,NC,Major Disaster,2017,Hurricane,Hurricane Matthew,YES,NO,YES,YES,2016-10-04T16:00:01Z,2016-10-25T03:59:00Z,10/4/16,10/25/16,20,Greene (County),5d1bcedad5b39c032f26b997
46417,DR-4286-SC,4286,SC,Major Disaster,2017,Hurricane,Hurricane Matthew,YES,NO,YES,YES,2016-10-04T16:00:01Z,2016-10-30T04:00:00Z,10/4/16,10/30/16,25,Jasper (County),5d1bcedad5b39c032f26ba74
46443,FM-5156-NV,5156,NV,Fire Management,2017,Fire,Little Valley Fire,NO,NO,YES,YES,2016-10-14T09:30:00Z,2016-11-01T03:59:00Z,10/14/16,11/1/16,18,Washoe (County),5d1bcedcd5b39c032f26c6a3
46444,FM-5157-CO,5157,CO,Fire Management,2017,Fire,Junkins Fire,NO,NO,YES,YES,2016-10-17T16:00:00Z,2016-10-27T03:59:00Z,10/17/16,10/27/16,9,Custer (County),5d1bcedcd5b39c032f26c6a4
46446,DR-4287-KS,4287,KS,Major Disaster,2017,Severe Storm(s),Severe Storms And Flooding,NO,NO,YES,YES,2016-09-02T04:00:00Z,2016-09-12T04:00:00Z,9/2/16,9/12/16,10,Sumner (County),5d1bcedad5b39c032f26bb8a
46459,DR-4288-WI,4288,WI,Major Disaster,2017,Flood,"Severe Storms, Flooding, And Mudslides",NO,NO,YES,YES,2016-09-21T04:00:00Z,2016-09-23T03:59:00Z,9/21/16,9/23/16,2,Juneau (County),5d1bcedad5b39c032f26bb79
46469,DR-4289-IA,4289,IA,Major Disaster,2017,Flood,Severe Storms And Flooding,NO,NO,YES,YES,2016-09-21T04:00:00Z,2016-10-04T03:59:00Z,9/21/16,10/4/16,13,Wright (County),5d1bcedad5b39c032f26baea
46488,DR-4290-MN,4290,MN,Major Disaster,2017,Flood,Severe Storms And Flooding,YES,NO,NO,YES,2016-09-21T04:00:00Z,2016-09-25T03:59:00Z,9/21/16,9/25/16,4,Hennepin (County),5d1bcedad5b39c032f26b99a
46498,DR-4291-VA,4291,VA,Major Disaster,2017,Hurricane,Hurricane Matthew,NO,NO,YES,YES,2016-10-07T16:00:00Z,2016-10-16T03:59:00Z,10/7/16,10/16/16,8,Franklin,5d1bcedad5b39c032f26bab5
46508,FM-5158-KY,5158,KY,Fire Management,2017,Fire,Eagles Nest Fire,NO,NO,YES,YES,2016-11-08T17:00:00Z,2016-11-22T04:59:00Z,11/8/16,11/22/16,13,Breathitt (County),5d1bcedcd5b39c032f26c6a7
46509,FM-5159-TN,5159,TN,Fire Management,2017,Fire,Flippers Bend Fire,NO,NO,YES,YES,2016-11-05T16:00:00Z,2016-12-04T04:59:00Z,11/5/16,12/4/16,29,Hamilton (County),5d1bcedcd5b39c032f26c6a9
46510,FM-5160-TN,5160,TN,Fire Management,2017,Fire,Smith Mountain Fire Complex,NO,NO,YES,YES,2016-11-11T05:00:00Z,2016-11-30T04:59:00Z,11/11/16,11/30/16,19,Sequatchie (County),5d1bcedcd5b39c032f26c66e
